station	latitude	longitude	depth_category	depth_nominal	month	SSD	temp_woa	sal_woa	no3_woa	po4_woa	sioh4_woa	dco	dcu	dfe	dzn
007	37.0434	1.9493	SUR	9	9	727	25.3204002380371	37.2433891296387	0.654349029064178	0.171634286642075	0.129360869526863	55.321	1.129	2.158	3.596
008	38.005	3.9899	SUR	9	9	717	25.6286087036133	37.4514999389648	0.212858200073242	0.154928714036942	0.584275662899017	51.391	1.152	1.7	3.868
010	40.6541	2.8407	SUR	9	9	711	24.7973003387451	37.9257125854492	0.0727773904800415	0.103805638849735	0.45114666223526	60.567	1.089	3.298	3.197
011	41.6645	2.7983	SUR	9	10	NA	21.6301975250244	37.9609279632568	0.00706063769757748	0.0283310133963823	0.0658098654821515	65.818	1.336	3.837	4.457
012	43.3482	7.901	SUR	5	10	675	20.3616704940796	38.1781692504883	0.00658294605091214	0.033685986418277	0.0895976126194	100.297	1.04	4.29	2.368
014	39.91	12.8266	SUR	5	10	658	22.4066104888916	38.1651992797852	0.130252584815025	0.120232939720154	0.754303395748138	47.804	1.095	1.481	3.216
017	36.2678	14.3055	SUR	5	10	649	23.0446910858154	38.0746879577637	0.539129555225372	0.171881392598152	1.28918194770813	82.009	1.148	2.513	4.048
018	35.7606	14.2522	SUR	5	11	641	21.3249092102051	38.1430892944336	0.122970908880234	0.0171867106109858	2.43140935897827	82.341	1.133	2.095	3.998
019	34.2116	13.7684	SUR	5	11	630	21.9189910888672	38.1718902587891	0.327580124139786	0.0191674940288067	2.64310264587402	96.831	1.103	2.082	3.944
020	34.453	14.9538	SUR	5	11	627	22.1174087524414	38.219310760498	0.227576091885567	0.0119535224512219	2.23423099517822	83.987	1.076	1.869	3.806
021	37.5057	17.2174	SUR	5	11	610	20.2698097229004	38.5144119262695	0.0787921547889709	0.0153297986835241	1.53930222988129	50.775	1.39	1.212	5.368
022	39.5705	17.4101	SUR	5	11	597.5	19.5867366790771	38.6145401000977	0.103337821861108	0.0062520286689202	1.28051406145096	51.342	1.67	1.349	6.282
023	42.1735	17.7252	SUR	5	11	582	17.6539026896159	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
024	42.4552	17.9348	SUR	5	11	575	17.6539026896159	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
025	39.3888	19.3905	SUR	5	11	587.5	19.2237091064453	38.4057998657227	0.356505364179611	0.00778073072433472	1.31175482273102	60.303	1.116	2.284	3.885
026	38.425	20.1913	SUR	5	11	632.6666666666666	20.0548896789551	38.3590888977051	0.0544711127877235	0.0707586333155632	1.89963972568512	-999	-999	-999	4.336
030	33.9178	32.8872	SUR	5	12	595	20.2464008331299	39.2738990783691	0.181377962231636	0.159740954637527	1.64857769012451	48.371	1.066	1.135	4.075
031	27.145	34.8067	SUR	5	1	632	22.9568996429443	40.3986129760742	0.153497412800789	0.137777671217918	0.960544288158417	243.02	0.908	2.12	0.797
032	23.36	37.2183	SUR	5	1	649	24.8798904418945	39.5863876342773	0.188689634203911	0.0179385039955378	1.02944314479828	247.974	0.932	2.193	0.826
033	22.025	38.2333	SUR	5	1	654.5	26.1500911712646	39.1663131713867	0.19965535402298001	0.0958915427327156	1.06083977222443	240.579	0.909	2.177	0.811
034	18.3967	39.875	SUR	5	1	672	26.6068096160889	38.0615119934082	0.100832708179951	0.131181612610817	2.41174697875977	232.786	0.896	4.157	0.851
036	20.8222	63.5133	SUR	5	3	717	25.9537906646729	36.5188903808594	1.39381790161133	0.3832668364048	1.56870019435883	56.453	0.936	1.196	0.971
038	19.0351	64.5638	SUR	5	3	721	26.3012104034424	36.5104904174805	0.913694024085999	0.344897717237473	1.84536850452423	56.453	0.936	1.196	0.971
039	18.5839	66.4727	SUR	5	3	724	26.7712097167969	36.4241104125977	0.37709304690361	0.288929551839828	2.47091484069824	62.492	0.882	1.336	0.895
041	14.6059	69.9776	SUR	5	3	735	28.1505908966064	35.8630104064941	0.128936514258385	0.211062669754028	2.61545300483704	62.774	0.835	1.969	0.799
042	6.0001	73.8955	SUR	5	4	731	30.161491394043	34.4411888122559	0.168556809425354	0.161131843924522	1.89633858203888	59.288	0.793	2.102	0.804
043	4.6599	73.4856	SUR	5	4	731	30.09010887146	34.421989440918	0.250500470399857	0.159904614090919	2.46257901191711	61.412	0.765	2.079	0.809
045	0.0033	71.6428	SUR	5	4	727	30.0821895599365	34.9012870788574	0.192722350358963	0.236678779125214	5.05595636367798	30.028	0.662	1.179	0.796
046	-0.6625	73.161	SUR	5	4	726	29.9358005523682	34.8501892089844	0.29450386762619	0.238740414381027	3.98360753059387	30.898	0.632	1.221	0.784
047	-2.0465	72.1568	SUR	5	4	724	29.7691097259521	34.7865982055664	0.224442034959793	0.243372216820717	5.69509887695312	30.678	0.619	1.226	0.774
049	-16.8084	59.5043	SUR	5	4	696	28.2076091766357	34.831600189209	0.0195312276482582	0.249897167086601	2.37985563278198	33.835	0.569	0.852	0.747
051	-21.5043	54.3563	SUR	5	5	669	26.6021099090576	35.0476112365723	0.0385694988071918	0.134835407137871	2.96756839752197	40.205	0.509	1.038	0.702
052	-16.957	53.9801	SUR	5	5	678	27.368989944458	34.8870124816895	0.0373833924531937	0.140394225716591	3.47754645347595	36.065	0.542	0.796	0.733
053	-13.0833	46.971	SUR	5	5	687	28.532600402832	34.9005126953125	4.42642485722899e-4	0.152095481753349	2.15465903282166	59.641	0.551	2.526	0.734
054	-12.807	45.2247	SUR	5	5	687	28.3120098114014	34.9033012390137	3.39928752509877e-4	0.183467343449593	2.23384118080139	45.719	0.547	1.566	0.736
057	-17.0248	42.7401	SUR	5	6	667	26.3834991455078	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
058	-17.4174	42.2547	SUR	5	6	665.5	26.3834991455078	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
062	-22.3368	40.3412	SUR	5	7	648	24.3612003326416	35.2811889648438	0.0319115743041039	0.147584810853004	3.55102920532227	48.733	0.51	1.394	0.703
064	-29.5019	37.9889	SUR	5	7	620	21.9374008178711	35.4496116638184	0.473721444606781	0.131102383136749	1.45905554294586	37.024	0.534	0.955	0.717
065	-35.1728	26.2868	SUR	5	7	597	20.177490234375	35.4914131164551	2.32210397720337	0.395076096057892	4.33201599121094	42.259	0.567	1.375	0.771
066	-34.9449	17.9189	SUR	5	7	601.5	16.4027004241943	35.3732109069824	3.29224133491516	0.631964921951294	6.66895627975464	45.278	0.742	1.993	1.059
067	-32.2401	17.7103	SUR	5	9	697	15.2997903823853	35.249210357666	3.17573356628418	0.722875118255615	4.27686882019043	-999	-999	-999	-999
068	-31.0266	4.665	SUR	5	9	710.5	16.7139091491699	35.6510124206543	0.244347810745239	0.434491038322449	4.2799859046936	13.629	0.746	0.048	0.902
070	-20.4091	-3.1759	SUR	5	9	725	19.6231899261475	36.2012901306152	0.340886771678925	0.271181225776672	1.69512546062469	21.487	0.965	0.725	1.064
071	-9.3	-9.5587	SUR	5	9	729	23.4624996185303	36.2579002380371	0.193854495882988	0.252943456172943	1.48769307136536	28.15	0.833	0.734	0.868
072	-8.7789	-17.9099	SUR	5	10	732.5	24.5283908843994	36.2210884094238	0.0532614924013615	0.106488890945911	1.30011236667633	28.05	0.81	0.728	0.847
076	-20.9354	-35.1803	SUR	5	10	755	24.2596912384033	37.1759872436523	0.280447423458099	0.133171677589417	2.5739061832428	21.955	0.777	0.793	0.829
078	-30.1367	-43.2899	SUR	5	11	802	20.2515087127686	36.2625885009766	0.13833849132061	0.0310167726129293	2.40887761116028	22.947	0.773	0.617	0.841
080	-40.6511	-52.182	SUR	5	11	888.5	14.2298908233643	34.7732009887695	2.60963106155396	0.417359113693237	2.99579262733459	39.202	0.881	0.758	1.052
081	-44.5342	-52.455	SUR	5	12	919	14.2325096130371	34.7035102844238	3.37670660018921	0.510580658912659	1.74105131626129	25.018	-999	0.073	-999
082	-47.1863	-58.2902	SUR	5	12	945	9.40950965881348	34.0094108581543	8.19539737701416	0.749630451202393	2.05274820327759	25.103	-999	0.082	1.769
083	-54.3739	-65.1342	SUR	5	12	1031	6.37510164578756	33.6297384897868	12.1967738469442	1.020189255476	3.66066360473633	-999	-999	-999	-999
084	-60.2287	-60.6476	SUR	5	1	1123.75	1.78018999099731	33.8057098388672	22.6029853820801	1.65344071388245	28.1510963439941	29.884	1.01	0.07	3.491
085	-62.0385	-49.529	SUR	5	1	1157.6	-0.332010000944138	33.9269866943359	23.6984939575195	1.50477313995361	64.7300567626953	40.247	1.042	0.11	3.204
086	-64.3595	-53.0063	SUR	5	1	1217	-0.410310000181198	33.9122123718262	22.4675350189209	1.52082395553589	68.6536483764648	53.426	1.142	0.148	3.952
087	-63.8768	-56.0916	SUR	5	1	1152.5	0.0504960004240274	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
088	-63.4015	-56.7938	SUR	5	1	1109.5	0.0504960004240274	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
089	-57.7338	-67.1084	SUR	5	1	993	5.80169010162354	33.9965896606445	16.9418907165527	1.2755606174469	1.47755432128906	23.613	0.964	0.13	2.222
090	-39.6466	-76.9634	SUR	5	2	801	17.4362907409668	33.8293876647949	1.8290479183197	0.370829403400421	2.62758994102478	21.85	0.952	0.432	1.009
091	-34.161	-73.0995	SUR	5	2	778	16.838809967041	34.2200126647949	7.85882949829102	0.956501603126526	6.29791641235352	39.761	1.071	0.909	1.408
